applicant_id,cohort,selected,age_at_application,age_at_survey,age_gap,application_year_plus_age_gap
100256,A_2020,0,12.0,15.0,3.0,2023.0
100257,A_2020,1,12.0,14.0,2.0,2022.0
100259,A_2020,0,14.0,14.0,0.0,2020.0
100260,A_2020,0,12.0,14.0,2.0,2022.0
100261,A_2020,0,11.0,14.0,3.0,2023.0
100262,A_2020,1,12.0,14.0,2.0,2022.0
100263,A_2020,0,11.0,14.0,3.0,2023.0
100264,A_2020,1,13.0,15.0,2.0,2022.0
100265,A_2020,1,13.0,16.0,3.0,2023.0
100266,B_2018,1,11.0,15.0,4.0,2022.0
100268,A_2020,0,12.0,14.0,2.0,2022.0
100269,B_2018,1,11.0,15.0,4.0,2022.0
100270,A_2020,0,12.0,14.0,2.0,2022.0
100271,A_2020,1,12.0,14.0,2.0,2022.0
100272,A_2020,1,13.0,16.0,3.0,2023.0
100273,A_2020,1,12.0,15.0,3.0,2023.0
100274,A_2020,1,14.0,16.0,2.0,2022.0
100275,A_2020,0,13.0,15.0,2.0,2022.0
100276,A_2022,0,12.0,12.0,0.0,2022.0
100277,A_2022,0,16.0,16.0,0.0,2022.0
100278,A_2022,1,12.0,12.0,0.0,2022.0
100279,A_2020,0,12.0,14.0,2.0,2022.0
100280,A_2020,0,12.0,14.0,2.0,2022.0
100281,A_2020,0,13.0,15.0,2.0,2022.0
100282,A_2020,1,14.0,17.0,3.0,2023.0
100283,A_2020,0,14.0,16.0,2.0,2022.0
100284,A_2020,0,16.0,18.0,2.0,2022.0
100285,A_2022,1,12.0,12.0,0.0,2022.0
100286,A_2022,1,12.0,13.0,1.0,2023.0
100287,B_2018,1,11.0,16.0,5.0,2023.0
100288,A_2020,0,12.0,14.0,2.0,2022.0
100289,A_2020,0,11.0,14.0,3.0,2023.0
100290,A_2022,1,11.0,12.0,1.0,2023.0
100291,A_2020,1,14.0,16.0,2.0,2022.0
100292,A_2022,0,13.0,15.0,2.0,2024.0
100293,B_2018,1,11.0,16.0,5.0,2023.0
100294,A_2020,1,12.0,14.0,2.0,2022.0
100295,A_2020,0,14.0,16.0,2.0,2022.0
100296,A_2020,1,11.0,13.0,2.0,2022.0
100297,A_2020,0,10.0,12.0,2.0,2022.0
100298,B_2018,0,11.0,15.0,4.0,2022.0
100299,A_2020,1,13.0,16.0,3.0,2023.0
100300,A_2020,0,13.0,15.0,2.0,2022.0
100301,A_2020,0,13.0,16.0,3.0,2023.0
100302,B_2018,1,13.0,17.0,4.0,2022.0
100303,A_2020,1,11.0,14.0,3.0,2023.0
100304,A_2022,1,12.0,13.0,1.0,2023.0
100305,A_2022,1,12.0,12.0,0.0,2022.0
100306,A_2020,1,13.0,16.0,3.0,2023.0
100307,A_2022,1,14.0,15.0,1.0,2023.0
100308,A_2020,0,15.0,17.0,2.0,2022.0
100309,A_2020,1,14.0,16.0,2.0,2022.0
100310,A_2020,1,13.0,15.0,2.0,2022.0
100311,A_2020,1,13.0,16.0,3.0,2023.0
100312,A_2022,1,13.0,14.0,1.0,2023.0
100313,A_2020,0,12.0,15.0,3.0,2023.0
100314,A_2020,0,14.0,16.0,2.0,2022.0
100315,B_2018,1,10.0,15.0,5.0,2023.0
100316,A_2020,1,12.0,14.0,2.0,2022.0
100317,A_2020,1,12.0,15.0,3.0,2023.0
100318,A_2020,0,11.0,14.0,3.0,2023.0
100319,A_2020,0,14.0,16.0,2.0,2022.0
100320,A_2020,1,11.0,13.0,2.0,2022.0
100321,A_2020,1,13.0,15.0,2.0,2022.0
100322,A_2022,0,13.0,14.0,1.0,2023.0
100323,A_2020,0,15.0,17.0,2.0,2022.0
100324,A_2020,1,13.0,15.0,2.0,2022.0
100325,A_2020,1,12.0,15.0,3.0,2023.0
100326,A_2020,1,14.0,17.0,3.0,2023.0
100327,A_2020,0,13.0,16.0,3.0,2023.0
100328,A_2022,0,13.0,14.0,1.0,2023.0
100330,A_2020,1,12.0,15.0,3.0,2023.0
100331,A_2020,1,12.0,14.0,2.0,2022.0
100332,A_2020,0,12.0,14.0,2.0,2022.0
100333,A_2022,1,12.0,13.0,1.0,2023.0
100334,A_2020,0,13.0,15.0,2.0,2022.0
100336,A_2020,0,13.0,17.0,4.0,2024.0
100337,A_2020,1,15.0,17.0,2.0,2022.0
100338,A_2020,1,12.0,14.0,2.0,2022.0
100339,A_2020,0,13.0,16.0,3.0,2023.0
100341,A_2022,1,11.0,13.0,2.0,2024.0
100342,A_2022,0,11.0,12.0,1.0,2023.0
100343,A_2020,0,13.0,16.0,3.0,2023.0
100344,A_2022,1,12.0,13.0,1.0,2023.0
100345,A_2020,1,13.0,15.0,2.0,2022.0
100346,A_2020,0,11.0,13.0,2.0,2022.0
100347,A_2022,1,11.0,12.0,1.0,2023.0
100348,A_2020,0,11.0,14.0,3.0,2023.0
100349,B_2018,0,13.0,18.0,5.0,2023.0
100350,A_2020,0,13.0,15.0,2.0,2022.0
100351,A_2020,0,13.0,15.0,2.0,2022.0
100352,A_2020,0,12.0,15.0,3.0,2023.0
100353,A_2020,1,11.0,14.0,3.0,2023.0
100354,B_2018,0,13.0,17.0,4.0,2022.0
100355,A_2020,0,13.0,16.0,3.0,2023.0
100356,A_2022,0,11.0,12.0,1.0,2023.0
100357,A_2020,1,11.0,14.0,3.0,2023.0
100358,A_2020,1,15.0,17.0,2.0,2022.0
100359,A_2020,0,14.0,17.0,3.0,2023.0
100360,A_2022,0,12.0,13.0,1.0,2023.0
100361,B_2018,0,11.0,15.0,4.0,2022.0
100362,A_2020,0,12.0,14.0,2.0,2022.0
100363,B_2018,0,15.0,19.0,4.0,2022.0
100364,A_2020,0,11.0,14.0,3.0,2023.0
100365,A_2020,0,11.0,14.0,3.0,2023.0
100366,A_2020,0,11.0,14.0,3.0,2023.0
100367,A_2020,0,15.0,18.0,3.0,2023.0
100368,A_2020,0,15.0,10.0,-5.0,2015.0
100369,A_2020,0,14.0,17.0,3.0,2023.0
100370,A_2020,0,13.0,16.0,3.0,2023.0
100371,A_2020,1,12.0,14.0,2.0,2022.0
100372,A_2020,1,13.0,16.0,3.0,2023.0
100373,A_2020,0,13.0,15.0,2.0,2022.0
100374,A_2020,1,11.0,14.0,3.0,2023.0
100375,A_2020,0,12.0,15.0,3.0,2023.0
100376,A_2020,1,12.0,14.0,2.0,2022.0
100377,A_2020,0,14.0,16.0,2.0,2022.0
100378,A_2020,1,13.0,15.0,2.0,2022.0
100379,A_2020,0,12.0,15.0,3.0,2023.0
100380,A_2022,1,13.0,14.0,1.0,2023.0
100381,A_2020,0,12.0,14.0,2.0,2022.0
100382,A_2020,1,11.0,13.0,2.0,2022.0
100383,A_2020,1,13.0,15.0,2.0,2022.0
100384,A_2020,1,12.0,14.0,2.0,2022.0
100385,A_2020,1,13.0,16.0,3.0,2023.0
100386,A_2020,1,11.0,14.0,3.0,2023.0
100387,A_2020,0,12.0,14.0,2.0,2022.0
100388,A_2020,0,11.0,13.0,2.0,2022.0
100389,A_2020,1,12.0,14.0,2.0,2022.0
100390,A_2020,1,12.0,14.0,2.0,2022.0
100391,A_2020,1,11.0,14.0,3.0,2023.0
100392,B_2018,0,13.0,17.0,4.0,2022.0
100393,A_2022,0,13.0,14.0,1.0,2023.0
100394,A_2020,0,13.0,15.0,2.0,2022.0
100395,A_2020,1,12.0,14.0,2.0,2022.0
100396,A_2022,1,12.0,12.0,0.0,2022.0
100397,A_2020,0,14.0,16.0,2.0,2022.0
100398,A_2020,0,12.0,14.0,2.0,2022.0
100399,A_2022,0,16.0,17.0,1.0,2023.0
100400,A_2020,1,12.0,14.0,2.0,2022.0
100401,B_2018,1,12.0,17.0,5.0,2023.0
100402,A_2020,1,12.0,14.0,2.0,2022.0
100403,A_2020,0,13.0,17.0,4.0,2024.0
100404,A_2020,1,14.0,17.0,3.0,2023.0
100405,A_2020,1,12.0,14.0,2.0,2022.0
100406,B_2018,0,14.0,17.0,3.0,2021.0
100407,A_2022,1,12.0,13.0,1.0,2023.0
100408,A_2020,0,12.0,15.0,3.0,2023.0
100409,B_2018,0,15.0,19.0,4.0,2022.0
100410,A_2020,0,11.0,14.0,3.0,2023.0
100411,B_2018,0,13.0,18.0,5.0,2023.0
100412,A_2020,0,14.0,17.0,3.0,2023.0
100413,A_2020,0,13.0,15.0,2.0,2022.0
100414,A_2020,1,13.0,16.0,3.0,2023.0
100415,A_2020,1,15.0,17.0,2.0,2022.0
100417,B_2018,0,11.0,16.0,5.0,2023.0
100418,A_2020,0,12.0,14.0,2.0,2022.0
100419,A_2020,0,14.0,15.0,1.0,2021.0
100420,A_2020,1,14.0,16.0,2.0,2022.0
100421,A_2020,0,11.0,13.0,2.0,2022.0
100422,A_2020,1,12.0,14.0,2.0,2022.0
100423,A_2020,0,13.0,15.0,2.0,2022.0
100424,A_2020,0,12.0,14.0,2.0,2022.0
100425,A_2020,1,12.0,14.0,2.0,2022.0
100426,A_2022,0,14.0,15.0,1.0,2023.0
100427,A_2022,0,11.0,12.0,1.0,2023.0
100428,B_2018,1,13.0,18.0,5.0,2023.0
100429,A_2020,1,11.0,14.0,3.0,2023.0
100430,A_2020,0,12.0,14.0,2.0,2022.0
100431,A_2020,1,13.0,16.0,3.0,2023.0
100432,A_2020,1,11.0,14.0,3.0,2023.0
100433,A_2022,0,11.0,12.0,1.0,2023.0
100434,A_2020,1,12.0,15.0,3.0,2023.0
100435,A_2020,0,15.0,18.0,3.0,2023.0
100436,A_2020,1,12.0,14.0,2.0,2022.0
100437,A_2020,1,13.0,15.0,2.0,2022.0
100438,A_2020,1,12.0,14.0,2.0,2022.0
100439,A_2020,0,11.0,14.0,3.0,2023.0
100440,A_2022,1,15.0,15.0,0.0,2022.0
100441,A_2020,1,13.0,15.0,2.0,2022.0
100442,A_2020,1,13.0,15.0,2.0,2022.0
100443,A_2020,1,11.0,14.0,3.0,2023.0
100444,A_2020,1,12.0,14.0,2.0,2022.0
100445,B_2018,0,12.0,17.0,5.0,2023.0
100446,A_2020,1,12.0,14.0,2.0,2022.0
100447,A_2020,0,14.0,16.0,2.0,2022.0
100448,A_2020,1,12.0,14.0,2.0,2022.0
