applicant_id,mother_age,father_age,mother_age_clean,father_age_clean
100498,33.0,36.0,33.0,36.0
100499,52.0,53.0,52.0,53.0
100500,56.0,56.0,56.0,56.0
100501,33.0,,33.0,
100502,39.0,36.0,39.0,36.0
100503,36.0,38.0,36.0,38.0
100504,50.0,47.0,50.0,47.0
100505,65.0,,65.0,
100506,39.0,43.0,39.0,43.0
100507,40.0,52.0,40.0,52.0
100508,39.0,47.0,39.0,47.0
100509,38.0,37.0,38.0,37.0
100510,40.0,42.0,40.0,42.0
100511,28.0,37.0,28.0,37.0
100512,33.0,43.0,33.0,43.0
100513,,,,
100514,47.0,47.0,47.0,47.0
100515,35.0,35.0,35.0,35.0
100516,40.0,49.0,40.0,49.0
100517,53.0,,53.0,
100518,47.0,50.0,47.0,50.0
100519,35.0,37.0,35.0,37.0
100520,55.0,54.0,55.0,54.0
100521,,,,
100522,38.0,41.0,38.0,41.0
100523,,,,
100524,40.0,49.0,40.0,49.0
100525,40.0,65.0,40.0,65.0
100526,32.0,39.0,32.0,39.0
100527,37.0,40.0,37.0,40.0
100528,48.0,58.0,48.0,58.0
100529,40.0,32.0,40.0,32.0
100530,30.0,55.0,30.0,55.0
100531,37.0,36.0,37.0,36.0
100532,62.0,,62.0,
100533,39.0,,39.0,
100534,36.0,,36.0,
100535,45.0,56.0,45.0,56.0
100536,35.0,,35.0,
100537,31.0,31.0,31.0,31.0
100538,39.0,,39.0,
100539,45.0,44.0,45.0,44.0
100540,34.0,43.0,34.0,43.0
100541,38.0,38.0,38.0,38.0
100542,28.0,39.0,28.0,39.0
100543,,,,
100544,34.0,39.0,34.0,39.0
100545,40.0,37.0,40.0,37.0
100546,42.0,38.0,42.0,38.0
100547,35.0,36.0,35.0,36.0
100548,35.0,,35.0,
100549,35.0,39.0,35.0,39.0
100550,33.0,40.0,33.0,40.0
100551,36.0,46.0,36.0,46.0
100552,37.0,54.0,37.0,54.0
100553,40.0,50.0,40.0,50.0
100554,,,,
100555,38.0,42.0,38.0,42.0
100556,45.0,45.0,45.0,45.0
100557,40.0,49.0,40.0,49.0
100558,47.0,50.0,47.0,50.0
100559,40.0,,40.0,
100560,38.0,38.0,38.0,38.0
100561,35.0,35.0,35.0,35.0
100562,52.0,44.0,52.0,44.0
100563,,,,
100564,43.0,43.0,43.0,43.0
100565,45.0,64.0,45.0,64.0
100566,35.0,49.0,35.0,49.0
100567,58.0,60.0,58.0,60.0
100568,,36.0,,36.0
100569,35.0,38.0,35.0,38.0
100570,44.0,45.0,44.0,45.0
100571,43.0,48.0,43.0,48.0
100572,35.0,42.0,35.0,42.0
100573,37.0,,37.0,
100574,53.0,47.0,53.0,47.0
100575,42.0,42.0,42.0,42.0
100576,31.0,45.0,31.0,45.0
100577,46.0,55.0,46.0,55.0
100578,35.0,39.0,35.0,39.0
100579,33.0,,33.0,
100580,49.0,,49.0,
100581,42.0,49.0,42.0,49.0
100582,42.0,,42.0,
100583,45.0,45.0,45.0,45.0
100584,40.0,,40.0,
100585,35.0,44.0,35.0,44.0
100586,42.0,42.0,42.0,42.0
100587,48.0,40.0,48.0,40.0
100588,41.0,,41.0,
100589,37.0,36.0,37.0,36.0
100590,31.0,36.0,31.0,36.0
100591,32.0,45.0,32.0,45.0
100592,48.0,39.0,48.0,39.0
100593,40.0,49.0,40.0,49.0
100594,35.0,35.0,35.0,35.0
100595,39.0,37.0,39.0,37.0
100596,,44.0,,44.0
100597,33.0,38.0,33.0,38.0
100598,40.0,49.0,40.0,49.0
100599,34.0,38.0,34.0,38.0
100600,33.0,48.0,33.0,48.0
100601,35.0,37.0,35.0,37.0
100602,35.0,37.0,35.0,37.0
100603,37.0,38.0,37.0,38.0
100604,35.0,38.0,35.0,38.0
100605,45.0,48.0,45.0,48.0
100606,30.0,50.0,30.0,50.0
100607,45.0,52.0,45.0,52.0
100608,33.0,39.0,33.0,39.0
100609,35.0,42.0,35.0,42.0
100610,,,,
100611,38.0,,38.0,
100612,42.0,43.0,42.0,43.0
100613,31.0,32.0,31.0,32.0
100614,26.0,36.0,26.0,36.0
100615,50.0,60.0,50.0,60.0
100616,39.0,40.0,39.0,40.0
100617,34.0,35.0,34.0,35.0
100618,34.0,43.0,34.0,43.0
100619,46.0,45.0,46.0,45.0
100620,58.0,70.0,58.0,70.0
100621,40.0,45.0,40.0,45.0
100622,45.0,47.0,45.0,47.0
100623,33.0,40.0,33.0,40.0
100624,53.0,55.0,53.0,55.0
100625,37.0,40.0,37.0,40.0
100626,30.0,,30.0,
100627,34.0,37.0,34.0,37.0
100628,40.0,52.0,40.0,52.0
100629,60.0,,60.0,
100630,50.0,60.0,50.0,60.0
100631,38.0,39.0,38.0,39.0
100632,40.0,57.0,40.0,57.0
100633,,,,
100634,33.0,38.0,33.0,38.0
100635,45.0,50.0,45.0,50.0
100636,35.0,40.0,35.0,40.0
100637,48.0,51.0,48.0,51.0
100638,37.0,,37.0,
100639,49.0,,49.0,
100640,35.0,45.0,35.0,45.0
100641,32.0,42.0,32.0,42.0
100642,45.0,70.0,45.0,70.0
100643,36.0,39.0,36.0,39.0
100644,41.0,52.0,41.0,52.0
100645,34.0,37.0,34.0,37.0
100646,49.0,,49.0,
100647,47.0,48.0,47.0,48.0
100648,42.0,42.0,42.0,42.0
100649,42.0,,42.0,
100650,39.0,36.0,39.0,36.0
100651,42.0,50.0,42.0,50.0
100652,,45.0,,45.0
100653,37.0,42.0,37.0,42.0
100654,37.0,35.0,37.0,35.0
100655,55.0,69.0,55.0,69.0
100656,45.0,39.0,45.0,39.0
100657,34.0,45.0,34.0,45.0
100658,51.0,61.0,51.0,61.0
100659,32.0,1.0,32.0,
100660,42.0,34.0,42.0,34.0
100661,34.0,51.0,34.0,51.0
100662,42.0,40.0,42.0,40.0
100663,44.0,43.0,44.0,43.0
100664,40.0,46.0,40.0,46.0
100665,37.0,45.0,37.0,45.0
100666,38.0,37.0,38.0,37.0
100667,46.0,39.0,46.0,39.0
100668,37.0,,37.0,
100669,46.0,41.0,46.0,41.0
100670,31.0,,31.0,
100671,50.0,51.0,50.0,51.0
100672,38.0,53.0,38.0,53.0
100673,33.0,34.0,33.0,34.0
100674,45.0,45.0,45.0,45.0
100675,,34.0,,34.0
100676,48.0,38.0,48.0,38.0
100677,32.0,36.0,32.0,36.0
100678,56.0,51.0,56.0,51.0
100679,51.0,,51.0,
100680,53.0,48.0,53.0,48.0
100681,40.0,38.0,40.0,38.0
100682,39.0,38.0,39.0,38.0
100683,38.0,40.0,38.0,40.0
100684,42.0,52.0,42.0,52.0
100685,43.0,41.0,43.0,41.0
100686,37.0,48.0,37.0,48.0
100687,34.0,43.0,34.0,43.0
100688,42.0,,42.0,
100689,27.0,30.0,27.0,30.0
100690,39.0,,39.0,
100691,,42.0,,42.0
100692,58.0,54.0,58.0,54.0
100693,54.0,,54.0,
100694,53.0,49.0,53.0,49.0
100695,37.0,48.0,37.0,48.0
100696,35.0,,35.0,
100697,33.0,45.0,33.0,45.0
100698,32.0,42.0,32.0,42.0
100699,37.0,,37.0,
100700,45.0,45.0,45.0,45.0
100701,40.0,45.0,40.0,45.0
100702,36.0,40.0,36.0,40.0
100703,42.0,,42.0,
100704,45.0,48.0,45.0,48.0
100705,45.0,52.0,45.0,52.0
100706,40.0,42.0,40.0,42.0
100707,35.0,49.0,35.0,49.0
100708,55.0,47.0,55.0,47.0
100709,40.0,37.0,40.0,37.0
100710,38.0,40.0,38.0,40.0
100711,38.0,42.0,38.0,42.0
100712,42.0,52.0,42.0,52.0
100713,39.0,39.0,39.0,39.0
100714,,,,
100715,42.0,36.0,42.0,36.0
100716,37.0,40.0,37.0,40.0
100717,36.0,,36.0,
100718,42.0,42.0,42.0,42.0
100719,38.0,40.0,38.0,40.0
100720,34.0,38.0,34.0,38.0
100721,36.0,34.0,36.0,34.0
100722,48.0,39.0,48.0,39.0
100723,48.0,36.0,48.0,36.0
100724,41.0,41.0,41.0,41.0
100725,33.0,37.0,33.0,37.0
100726,42.0,40.0,42.0,40.0
100727,36.0,45.0,36.0,45.0
100728,60.0,70.0,60.0,70.0
100729,32.0,38.0,32.0,38.0
100730,42.0,46.0,42.0,46.0
100731,48.0,46.0,48.0,46.0
100732,58.0,,58.0,
100733,36.0,,36.0,
100734,37.0,,37.0,
100735,37.0,42.0,37.0,42.0
100736,38.0,,38.0,
100737,44.0,,44.0,
100738,49.0,42.0,49.0,42.0
100739,42.0,43.0,42.0,43.0
100740,41.0,43.0,41.0,43.0
100741,54.0,48.0,54.0,48.0
100742,40.0,45.0,40.0,45.0
100743,52.0,58.0,52.0,58.0
100744,45.0,48.0,45.0,48.0
100745,44.0,46.0,44.0,46.0
100746,42.0,40.0,42.0,40.0
100747,48.0,,48.0,
100748,42.0,58.0,42.0,58.0
100749,31.0,38.0,31.0,38.0
100750,42.0,38.0,42.0,38.0
100751,39.0,40.0,39.0,40.0
100752,45.0,43.0,45.0,43.0
100753,40.0,48.0,40.0,48.0
100754,33.0,36.0,33.0,36.0
100755,43.0,48.0,43.0,48.0
100756,38.0,,38.0,
100757,34.0,39.0,34.0,39.0
100758,52.0,46.0,52.0,46.0
100759,35.0,39.0,35.0,39.0
100760,,,,
100761,37.0,50.0,37.0,50.0
100762,49.0,58.0,49.0,58.0
100763,45.0,,45.0,
100764,34.0,38.0,34.0,38.0
100765,30.0,34.0,30.0,34.0
100766,40.0,51.0,40.0,51.0
100767,34.0,40.0,34.0,40.0
100768,40.0,,40.0,
100769,34.0,34.0,34.0,34.0
100770,53.0,65.0,53.0,65.0
100771,38.0,,38.0,
100772,52.0,51.0,52.0,51.0
100773,,,,
100774,32.0,41.0,32.0,41.0
100775,36.0,36.0,36.0,36.0
100776,52.0,46.0,52.0,46.0
100777,43.0,52.0,43.0,52.0
100778,43.0,45.0,43.0,45.0
100779,35.0,47.0,35.0,47.0
100780,42.0,56.0,42.0,56.0
100781,40.0,50.0,40.0,50.0
100782,42.0,,42.0,
100783,40.0,48.0,40.0,48.0
100784,42.0,56.0,42.0,56.0
100785,38.0,49.0,38.0,49.0
100786,42.0,,42.0,
100787,37.0,47.0,37.0,47.0
100788,37.0,38.0,37.0,38.0
100789,43.0,41.0,43.0,41.0
100790,39.0,39.0,39.0,39.0
100791,38.0,39.0,38.0,39.0
100792,58.0,54.0,58.0,54.0
100793,38.0,,38.0,
100794,47.0,,47.0,
100795,35.0,36.0,35.0,36.0
100796,35.0,38.0,35.0,38.0
