"applicant_id","cohort","selected","male","age_at_application","age_at_survey","age_change","age_unverifiable","age_decreased","age_unchanged","age_outside_2_to_4","age_at_survey_clean"
100867,"A_2022",0,0,13,13,0,FALSE,FALSE,TRUE,TRUE,13
100870,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100872,"B_2018",0,0,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100875,"A_2020",1,0,,18,,TRUE,FALSE,FALSE,FALSE,18
100891,"A_2022",0,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100892,"A_2022",1,0,11,11,0,FALSE,FALSE,TRUE,TRUE,11
100900,"A_2022",0,0,14,14,0,FALSE,FALSE,TRUE,TRUE,14
100904,"B_2018",1,0,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100908,"A_2022",0,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100909,"A_2022",0,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100910,"A_2022",1,1,17,13,-4,FALSE,TRUE,FALSE,TRUE,
100911,"A_2022",0,1,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100912,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100914,"B_2018",1,0,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100915,"A_2022",1,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100919,"A_2020",0,0,,14,,TRUE,FALSE,FALSE,FALSE,14
100923,"A_2022",1,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100927,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100934,"B_2018",1,0,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100941,"A_2022",1,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100943,"B_2018",1,1,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100944,"B_2018",1,0,15,20,5,FALSE,FALSE,FALSE,TRUE,20
100945,"A_2022",0,1,16,16,0,FALSE,FALSE,TRUE,TRUE,16
100948,"A_2020",0,1,,14,,TRUE,FALSE,FALSE,FALSE,14
100951,"A_2022",0,0,11,11,0,FALSE,FALSE,TRUE,TRUE,11
100954,"A_2022",1,0,11,11,0,FALSE,FALSE,TRUE,TRUE,11
100956,"A_2022",1,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100962,"A_2022",1,0,10,11,1,FALSE,FALSE,FALSE,TRUE,11
100975,"A_2020",1,1,,16,,TRUE,FALSE,FALSE,FALSE,16
100980,"A_2022",0,1,15,15,0,FALSE,FALSE,TRUE,TRUE,15
100982,"B_2018",0,1,,18,,TRUE,FALSE,FALSE,FALSE,18
100983,"B_2018",0,0,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100986,"A_2022",1,1,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100989,"A_2020",0,1,,15,,TRUE,FALSE,FALSE,FALSE,15
100992,"A_2022",0,0,14,14,0,FALSE,FALSE,TRUE,TRUE,14
100995,"A_2022",1,1,14,14,0,FALSE,FALSE,TRUE,TRUE,14
100996,"A_2022",0,1,15,15,0,FALSE,FALSE,TRUE,TRUE,15
101002,"A_2022",0,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
