"applicant_id","municipality","application_year","selected","male","age_at_application","has_phone","ses_stratum","neighborhood","age_at_survey","survey_month","survey_form","household_visit","mother_educ","father_educ","mother_age","father_age","father_income_high","receiving_aid_now","started_g6_private","started_g7_private","in_private_now","in_school_now","highest_grade","finished_g6","finished_g7","finished_g8","repeats_g6","ever_repeated","total_repeats","years_in_school","married_or_cohab","has_child","working","hours_worked","cohort","selected_clean","male_clean","has_phone_clean","survey_form_clean","household_visit_clean","father_income_high_clean","receiving_aid_now_clean","started_g6_private_clean","started_g7_private_clean","in_private_now_clean","in_school_now_clean","finished_g6_clean","finished_g7_clean","finished_g8_clean","ever_repeated_clean","married_or_cohab_clean","has_child_clean","working_clean","ses_stratum_clean","neighborhood_clean","survey_month_clean","repeats_g6_clean","total_repeats_clean","age_change","age_unverifiable","age_decreased","age_unchanged","age_outside_2_to_4","age_at_survey_clean","grade_conflict","grade_below_5_review","school_years_below_grade_progress_review","finished_g6_conflict","finished_g7_conflict","finished_g8_conflict","repeats_conflict","private_school_conflict","mother_child_age_gap","mother_age_gap_over_60","mother_age_clean","father_child_age_gap","father_age_gap_over_60","father_age_clean","work_hours_conflict","years_in_school_above_4","years_in_school_exceeds_age_gap_plus_1","primary_logic_flag","age_at_application_missing","ses_stratum_missing","neighborhood_missing","age_at_application_imp","ses_stratum_imp","male_c","has_phone_c","age_at_application_imp_c","age_at_application_missing_c","ses_stratum_imp_c","ses_stratum_missing_c"
100030,"A",2020,0,0,12,1,2,7,15,7,1,0,2,5,59,60,0,0,1,1,1,1,7,1,1,0,1,1,1,4,0,0,0,0,"A_2020",0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,2,7,7,1,1,3,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,FALSE,59,45,FALSE,60,FALSE,FALSE,FALSE,FALSE,0,0,0,12,2,-0.501700680272109,0,-0.59375,-0.0476190476190476,0,-0.158163265306122
100031,"A",2020,1,1,12,1,1,,15,4,0,0,,,40,39,0,0,1,1,0,1,7,1,1,0,0,1,1,4,0,0,0,0,"A_2020",1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,,4,0,1,3,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,40,24,FALSE,39,FALSE,FALSE,FALSE,FALSE,0,0,1,12,1,0.498299319727891,0,-0.59375,-0.0476190476190476,-1,-0.158163265306122
100032,"B",2018,0,0,12,0,2,,17,7,1,1,3,0,58,71,0,0,1,1,1,1,8,1,1,1,0,1,1,6,0,0,0,0,"B_2018",0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,2,,7,0,1,5,FALSE,FALSE,FALSE,TRUE,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,58,54,FALSE,71,FALSE,TRUE,FALSE,FALSE,0,0,1,12,2,-0.424242424242424,-0.442424242424242,-0.401234567901234,-0.0181818181818182,0.056,-0.242424242424242
100033,"A",2022,1,1,13,1,2,,14,7,1,0,5,3,49,62,0,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0,"A_2022",1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,2,,7,0,0,1,FALSE,FALSE,FALSE,TRUE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,49,48,FALSE,62,FALSE,FALSE,FALSE,FALSE,0,0,1,13,2,0.494584837545126,0,0.591911764705882,-0.0180505415162455,-0.0758928571428572,-0.191335740072202
100034,"A",2020,1,1,11,1,,1,13,1,0,1,5,5,42,45,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0,"A_2020",1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,0,0,2,FALSE,FALSE,FALSE,FALSE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,FALSE,42,32,FALSE,45,FALSE,FALSE,TRUE,FALSE,0,1,0,11,2,0.498299319727891,0,-1.59375,-0.0476190476190476,0,0.841836734693878
100035,"A",2020,0,0,,1,1,19,15,6,0,0,9,9,33,33,0,0,1,1,,1,7,1,1,0,0,0,0,3,0,0,0,0,"A_2020",0,0,1,0,0,0,0,1,1,,1,1,1,0,0,0,0,0,1,19,6,0,0,,TRUE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,FALSE,33,18,FALSE,33,FALSE,FALSE,FALSE,FALSE,1,0,0,12.59375,1,-0.501700680272109,0,0,0.952380952380952,-1,-0.158163265306122
100036,"A",2020,1,0,11,1,2,,15,3,1,0,,,,,,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,"A_2020",1,0,1,1,0,,0,1,0,0,0,1,0,0,0,0,0,0,2,,3,0,0,4,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,FALSE,,FALSE,FALSE,FALSE,FALSE,0,0,1,11,2,-0.501700680272109,0,-1.59375,-0.0476190476190476,0,-0.158163265306122
100037,"A",2022,1,0,12,1,2,,12,7,1,0,11,8,35,46,1,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0,"A_2022",1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,2,,7,0,0,0,FALSE,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,35,34,FALSE,46,FALSE,FALSE,TRUE,FALSE,0,0,1,12,2,-0.505415162454874,0,-0.408088235294118,-0.0180505415162455,-0.0758928571428572,-0.191335740072202
100038,"A",2022,1,0,12,1,,,13,7,1,0,5,5,36,40,0,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0,"A_2022",1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,,,7,0,0,1,FALSE,FALSE,FALSE,TRUE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,36,27,FALSE,40,FALSE,FALSE,FALSE,FALSE,0,1,1,12,2.07589285714286,-0.505415162454874,0,-0.408088235294118,-0.0180505415162455,0,0.808664259927798
100039,"A",2020,1,1,12,1,5,,15,2,0,1,10,5,48,50,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0,"A_2020",1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,5,,2,0,0,3,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,48,35,FALSE,50,FALSE,FALSE,FALSE,FALSE,0,0,1,12,5,0.498299319727891,0,-0.59375,-0.0476190476190476,3,-0.158163265306122
