applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked,cohort,private_history_g6_g7_current,g6_to_current_exit,g6_to_g7_nonprivate_start,earlier_private_to_current_exit,g6_private_g7_nonprivate_current_private,current_exit_schooling_status,age_change
100637,A,2020,1,1,13,1,1,19,16,6,0,0,,,48.0,51.0,0,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,3.0
100655,B,2018,1,1,13,0,1,,18,6,1,1,3.0,3.0,55.0,69.0,0,0,1,1,0,1,9,1,1,1,0,0,0,6,0,0,0,0.0,B2018,1->1->0,1,0,1,0,enrolled_nonprivate,5.0
100656,A,2020,1,0,13,1,,19,15,1,1,0,3.0,5.0,45.0,39.0,0,0,1,0,0,0,6,1,0,0,1,1,1,3,0,0,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,2.0
100669,B,2018,1,0,11,1,2,,16,7,1,1,1.0,0.0,46.0,41.0,0,0,1,1,0,0,9,1,1,1,0,0,0,5,0,0,0,0.0,B2018,1->1->0,1,0,1,0,not_currently_enrolled,5.0
100677,A,2022,1,1,13,1,,,14,7,1,0,5.0,5.0,32.0,36.0,,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,35.0,A2022,1->0->0,1,1,1,0,not_currently_enrolled,1.0
100682,A,2022,1,0,14,1,2,,15,7,1,0,5.0,9.0,39.0,38.0,0,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,1,35.0,A2022,1->0->0,1,1,1,0,not_currently_enrolled,1.0
100686,A,2020,1,0,12,1,3,,14,3,0,0,5.0,6.0,37.0,48.0,0,0,1,1,0,1,7,1,1,0,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100691,A,2020,1,1,14,1,2,16,17,3,0,1,,0.0,,42.0,0,0,1,1,0,0,8,1,1,1,0,0,0,3,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100692,A,2020,1,1,15,1,2,19,18,6,0,0,2.0,2.0,58.0,54.0,0,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100695,A,2020,1,1,15,1,2,5,17,7,1,0,5.0,3.0,37.0,48.0,0,0,1,0,0,0,6,1,0,0,1,1,1,2,0,0,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,2.0
100696,A,2020,1,1,12,1,2,11,15,9,1,1,5.0,,35.0,,,0,1,1,0,1,7,1,1,0,0,1,1,4,0,0,1,36.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100704,A,2020,1,0,13,1,2,,15,3,0,1,5.0,6.0,45.0,48.0,1,0,1,1,0,0,11,0,0,0,2,1,2,3,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,2.0
100706,A,2020,1,1,14,1,2,11,17,1,0,0,9.0,3.0,40.0,42.0,0,0,1,1,0,1,10,1,1,1,0,0,0,6,0,0,1,40.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,3.0
100715,A,2020,1,0,11,1,2,6,13,3,0,0,6.0,8.0,42.0,36.0,0,0,1,1,0,1,7,1,1,0,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100723,A,2020,1,1,14,1,,19,16,3,0,0,3.0,5.0,48.0,36.0,0,0,1,1,0,0,7,1,1,0,0,0,0,3,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,2.0
100731,A,2020,1,0,12,1,,18,15,8,1,0,5.0,5.0,48.0,46.0,0,0,1,1,0,0,6,1,0,0,0,1,1,3,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100732,B,2018,1,0,16,0,1,,20,7,1,1,2.0,,58.0,,,0,1,1,0,0,7,1,1,0,0,0,0,2,0,0,1,0.0,B2018,1->1->0,1,0,1,0,not_currently_enrolled,4.0
100733,A,2020,1,0,14,1,,,16,8,1,0,5.0,,36.0,,,0,1,0,0,1,6,1,0,0,0,0,0,3,0,0,0,0.0,A2020,1->0->0,1,1,1,0,enrolled_nonprivate,2.0
