applicant_id,cohort,selected,years_in_school,highest_grade,total_repeats,years_minus_highest_grade_plus5,age_at_application,age_at_survey,age_change,exceeds_4_years,exceeds_age_change_plus1
100599,A2020,0,4,8,0,1.0,14,16,2.0,0,1
100602,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100605,A2020,0,4,8,0,1.0,11,13,2.0,0,1
100607,A2020,0,5,7,2,3.0,13,15,2.0,1,1
100608,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100609,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100617,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100618,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100619,A2020,0,4,7,1,2.0,12,14,2.0,0,1
100620,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100627,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100629,A2020,0,4,9,0,0.0,14,17,3.0,0,0
100630,A2020,0,2,6,1,1.0,,17,,0,
100631,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100633,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100634,A2020,0,4,6,2,3.0,12,14,2.0,0,1
100636,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100638,A2020,0,6,9,1,2.0,14,16,2.0,1,1
100640,A2020,0,3,7,0,1.0,11,14,3.0,0,0
100643,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100644,A2020,0,3,6,1,2.0,,16,,0,
100645,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100647,A2020,0,3,6,0,2.0,13,15,2.0,0,0
100648,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100650,A2020,0,4,8,0,1.0,14,16,2.0,0,1
100653,A2020,0,3,6,2,2.0,12,15,3.0,0,0
100660,A2020,0,4,7,0,2.0,12,14,2.0,0,1
100668,A2020,0,3,6,0,2.0,15,17,2.0,0,0
100674,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100676,A2020,0,0,5,0,0.0,14,17,3.0,0,0
100678,A2020,0,2,6,1,1.0,14,17,3.0,0,0
100680,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100688,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100693,A2020,0,1,6,0,0.0,13,16,3.0,0,0
100694,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100698,A2020,0,4,5,1,4.0,,16,,0,
100699,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100701,A2020,0,3,8,0,0.0,14,16,2.0,0,0
100710,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100714,A2020,0,4,8,0,1.0,14,16,2.0,0,1
100716,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100718,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100719,A2020,0,4,6,1,3.0,12,14,2.0,0,1
100721,A2020,0,4,8,0,1.0,15,17,2.0,0,1
100724,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100725,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100727,A2020,0,4,8,0,1.0,10,13,3.0,0,0
100728,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100729,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100730,A2020,0,4,7,1,2.0,,14,,0,
100735,A2020,0,2,6,0,1.0,,17,,0,
100739,A2020,0,4,7,1,2.0,,14,,0,
100741,A2020,0,4,8,0,1.0,14,17,3.0,0,0
100742,A2020,0,4,9,0,0.0,14,17,3.0,0,0
100745,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100748,A2020,0,4,8,1,1.0,16,18,2.0,0,1
100751,A2020,0,4,8,0,1.0,11,13,2.0,0,1
100759,A2020,0,1,8,0,-2.0,12,15,3.0,0,0
100760,A2020,0,3,7,0,1.0,,17,,0,
100766,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100767,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100768,A2020,0,4,8,1,1.0,12,16,4.0,0,0
100769,A2020,0,3,11,0,-3.0,14,17,3.0,0,0
100775,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100778,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100780,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100785,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100788,A2020,0,4,8,0,1.0,11,13,2.0,0,1
100790,A2020,0,3,6,1,2.0,12,14,2.0,0,0
100791,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100797,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100798,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100800,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100806,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100807,A2020,0,0,5,0,0.0,15,17,2.0,0,0
100808,A2020,0,2,6,0,1.0,15,17,2.0,0,0
100810,A2020,0,3,9,0,-1.0,15,18,3.0,0,0
100811,A2020,0,4,7,1,2.0,10,12,2.0,0,1
100814,A2020,0,5,8,1,2.0,13,15,2.0,1,1
100817,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100822,A2020,0,2,7,0,0.0,15,17,2.0,0,0
100824,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100826,A2020,0,3,7,0,1.0,13,15,2.0,0,0
100828,A2020,0,4,8,0,1.0,14,16,2.0,0,1
100832,A2020,0,4,8,0,1.0,11,13,2.0,0,1
100834,A2020,0,3,7,0,1.0,12,14,2.0,0,0
