applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood
100461,A,2020,1,1,13,1,3,
100462,A,2020,1,1,,1,1,5
100463,A,2020,0,0,12,1,2,11
100464,B,2018,1,0,11,1,3,
100465,A,2022,1,0,12,1,3,
100466,A,2020,0,1,15,1,2,19
100467,B,2018,0,0,14,0,2,
100468,A,2020,0,1,12,1,2,19
100469,A,2020,1,1,12,1,3,9
100470,A,2020,0,0,12,1,2,18
100471,A,2022,0,1,14,1,2,
100472,A,2020,1,0,11,1,2,4
100473,A,2022,1,0,14,1,2,
100474,A,2022,1,1,11,1,4,
100475,A,2020,0,1,13,1,2,18
100476,A,2022,0,1,12,1,2,
100477,A,2020,0,1,11,1,2,5
100478,A,2020,0,1,13,1,1,19
100479,A,2020,0,0,11,1,3,10
100480,A,2020,0,1,13,1,2,19
100481,A,2020,1,1,12,1,1,8
100482,A,2022,1,0,15,1,,
100483,A,2020,1,0,14,1,,4
100484,A,2022,0,1,12,1,2,
100485,A,2020,0,0,13,1,2,
100486,A,2020,1,1,15,1,2,
100487,A,2020,1,1,14,1,2,
100488,A,2020,0,0,15,1,3,11
100489,A,2020,1,0,11,1,,
100490,A,2020,1,0,14,1,2,7
100491,A,2022,1,0,12,1,2,
100492,A,2020,1,0,11,1,2,17
100493,A,2020,1,1,13,1,2,18
100494,B,2018,0,0,12,1,,
100495,B,2018,0,1,13,0,,
100496,B,2018,1,1,13,1,,
100497,A,2020,1,0,11,1,2,
100498,A,2020,1,0,14,1,2,17
100499,A,2020,0,1,12,1,1,19
100500,A,2022,1,0,14,1,2,
100501,A,2020,1,0,12,1,2,19
100502,A,2020,1,0,11,1,2,
100503,A,2020,1,1,12,1,2,19
100504,A,2020,0,1,14,1,,
100505,A,2020,1,1,15,1,2,5
100506,A,2022,0,1,11,1,2,
100507,A,2020,1,0,14,1,1,17
100508,A,2020,1,0,10,1,2,10
100509,A,2020,1,1,14,1,1,19
100510,A,2020,0,1,16,1,1,
100511,B,2018,0,0,13,0,1,
100512,A,2020,1,0,13,1,2,17
100513,A,2020,0,1,13,1,,17
100514,A,2020,1,0,12,1,,19
100515,A,2020,1,1,12,1,2,
100516,A,2020,0,1,13,1,2,5
100517,A,2020,0,1,12,1,2,17
100518,B,2018,1,1,11,1,2,
100519,A,2020,1,0,12,1,2,6
100520,A,2020,1,1,12,1,2,4
100521,A,2022,1,1,12,1,3,
100522,A,2022,0,1,13,1,,
100523,A,2020,0,0,12,1,,11
100524,A,2022,1,1,13,1,2,
100525,A,2020,0,1,11,1,2,8
100526,A,2020,0,1,12,1,2,11
100527,A,2020,0,0,12,1,2,5
100528,A,2020,0,0,13,1,2,
100529,A,2020,0,1,12,1,1,19
100530,A,2020,0,1,12,1,1,10
