applicant_id,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked
101151,18,5,0,0,,6.0,,46.0,0,0,0,1,1,1,8,1,1,1,1,1,1,5,0,0,0,0.0
100185,17,7,1,0,1.0,4.0,35.0,48.0,0,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0.0
100802,12,7,1,0,11.0,9.0,43.0,42.0,0,0,1,1,1,1,6,1,0,0,1,1,1,2,0,0,0,0.0
101577,14,3,0,0,,,35.0,,,0,1,0,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101164,18,6,0,1,9.0,9.0,40.0,43.0,1,0,1,1,1,1,8,1,1,1,1,1,1,5,0,0,0,0.0
101522,15,3,0,0,5.0,5.0,42.0,46.0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0.0
101206,17,3,0,0,5.0,5.0,35.0,55.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100113,14,4,0,0,5.0,6.0,49.0,49.0,,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100397,16,4,0,0,,,45.0,42.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100063,16,7,1,1,2.0,,37.0,,,1,1,1,1,1,9,1,1,1,0,0,0,6,0,0,0,0.0
100228,17,6,1,0,7.0,,40.0,,,0,1,0,0,0,5,0,0,0,0,0,0,1,0,1,1,25.0
100358,17,3,0,0,5.0,9.0,32.0,44.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100308,17,3,0,0,,,,,,0,0,0,0,1,7,1,1,0,0,0,0,3,0,0,1,40.0
101021,15,8,1,0,5.0,6.0,38.0,46.0,,0,1,1,1,1,7,1,1,0,0,1,1,4,0,0,0,0.0
100905,15,3,0,0,11.0,,34.0,,,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100117,15,3,0,0,6.0,5.0,30.0,39.0,0,0,1,1,0,0,6,1,0,0,0,0,0,2,0,0,1,40.0
101088,16,3,0,0,,,32.0,34.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,1,20.0
100751,13,2,0,0,11.0,11.0,39.0,40.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100717,16,6,1,0,6.0,,36.0,,,1,1,1,1,1,9,1,1,1,0,0,0,6,0,0,0,0.0
100350,15,3,0,0,6.0,8.0,48.0,64.0,1,0,1,0,0,1,7,1,1,0,1,1,1,4,0,0,0,0.0
101448,15,8,1,0,,0.0,38.0,51.0,0,0,1,1,0,1,7,1,1,0,0,1,1,4,0,0,0,0.0
101429,14,8,1,0,,11.0,,,,0,1,1,1,1,6,1,0,0,0,0,0,3,0,0,0,0.0
101473,16,3,0,0,11.0,8.0,40.0,40.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101426,17,5,1,1,3.0,6.0,37.0,40.0,0,1,1,1,1,1,9,1,1,1,0,0,0,6,0,0,0,0.0
101560,15,3,0,1,,,35.0,43.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100027,14,4,0,0,5.0,,42.0,,,0,1,0,0,1,8,1,1,1,0,0,0,4,0,0,1,8.0
101592,15,3,0,0,7.0,,37.0,,,0,1,0,0,1,6,1,0,0,0,0,0,4,0,0,0,0.0
100412,17,5,0,0,,,33.0,45.0,0,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100416,13,6,0,0,2.0,5.0,36.0,40.0,1,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101594,16,3,0,0,7.0,5.0,39.0,45.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101047,15,5,0,0,9.0,11.0,35.0,19.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100771,18,3,0,0,,,38.0,,,0,1,1,0,0,8,1,1,1,0,0,0,3,0,0,0,0.0
100311,16,5,1,0,7.0,,35.0,,,0,0,0,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101025,14,3,0,0,9.0,,38.0,35.0,,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101076,13,3,0,0,7.0,11.0,36.0,31.0,0,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100374,14,9,1,0,5.0,,36.0,,,1,0,0,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100206,14,6,0,0,5.0,5.0,54.0,67.0,0,0,,,1,1,8,1,1,1,,0,0,1,0,0,0,0.0
