"cohort","exposure","outcome","baseline_adjusted","n","k","n_control","n_selected","rf","rf_se","fs","fs_se","fs_F","var_rf","var_fs","cov_rf_fs","ar_p","beta","se","lower","upper","p","AR_set","constant_outcome"
"A_2020","started_g7_private","hours_worked",TRUE,1161,7,571,590,-1.34453043256319,0.625760306840105,0.163200202325,0.024388257640553,44.7795615572351,0.391575961616622,0.00059478711074199,-0.00276569231609879,0.0318709198402375,-8.23853410356481,3.80876533215721,-15.7114147161736,-0.765653490956026,0.0307424682166088,"[-16.39973804, -0.75236539]",FALSE
"A_2022","in_private_now","years_in_school",FALSE,274,2,129,145,0.0293504410585407,0.0545626379976836,0.154878374766105,0.0529919583038417,8.54204052053982,0.00297708146526627,0.00280814764487609,0.000547402579341984,0.59107078814134,0.189506385916467,0.345927221259402,-0.49152878402983,0.870541555862765,0.584263706553023,"[-0.73645944, 1.10645601]",FALSE
"A_2022","in_private_now","years_in_school",TRUE,274,7,129,145,0.0415709355504946,0.0542614740183846,0.155421970440643,0.0541554902360776,8.23644567150243,0.00294430756264782,0.0029328171227099,0.000576516589782341,0.444280197405394,0.267471422686478,0.343228802837017,-0.408307862116217,0.943250707489174,0.436504812830992,"[-0.60045685, 1.26147262]",FALSE
"A_2022","in_private_now","married_or_cohab",FALSE,273,2,128,145,0,0,0.149730603448276,0.0529988832865392,7.98155870029177,0,0.0028088816296202,0,,0,,,,,"Not reported: no outcome variation",TRUE
"A_2022","in_private_now","married_or_cohab",TRUE,273,7,128,145,0,0,0.148438891280781,0.0541575675040411,7.51237232830197,0,0.00293304211795477,0,,0,,,,,"Not reported: no outcome variation",TRUE
"A_2022","in_private_now","has_child",FALSE,272,2,127,145,0,0,0.15237578061363,0.0531945068240997,8.20537272328222,0,0.00282965555625919,0,,0,,,,,"Not reported: no outcome variation",TRUE
"A_2022","in_private_now","has_child",TRUE,272,7,127,145,0,0,0.151309732979179,0.0543414837698955,7.75301715265064,0,0.00295299685831382,0,,0,,,,,"Not reported: no outcome variation",TRUE
"A_2022","in_private_now","working",FALSE,274,2,129,145,-0.0240577385725742,0.0332421090862386,0.154878374766105,0.0529919583038417,8.54204052053982,0.00110503781650139,0.00280814764487609,-0.000253105113325174,0.46986403879264,-0.155333103210218,0.213574874174344,-0.575803051195355,0.265136844774918,0.467667447924032,"[-0.78096262, 0.36198068]",FALSE
"A_2022","in_private_now","working",TRUE,274,7,129,145,-0.00869008168136837,0.0309585156211274,0.155421970440643,0.0541554902360776,8.23644567150243,0.00095842968946359,0.0029328171227099,-0.00022850578702203,0.779157238252266,-0.0559128265890001,0.197480195355194,-0.444729336382905,0.332903683204905,0.777295573068013,"[-0.57112017, 0.49841712]",FALSE
"A_2022","in_private_now","hours_worked",FALSE,274,2,129,145,-0.195028067361667,0.844462865821213,0.154878374766105,0.0529919583038417,8.54204052053982,0.713117531750976,0.00280814764487609,-0.0075843946973226,0.817527849107363,-1.25923369002416,5.39613580059936,-11.8827349242873,9.36426754423901,0.815658624053392,"[-14.48526222, 14.36170924]",FALSE
"A_2022","in_private_now","hours_worked",TRUE,274,7,129,145,0.00524545921298756,0.781103416562492,0.155421970440643,0.0541554902360776,8.23644567150243,0.610122547365599,0.0029328171227099,-0.00552882375552405,0.994646902911296,0.0337497922469773,5.02724553104095,-9.86433673607861,9.93183632057257,0.994648553940114,"[-11.97114015, 15.45094253]",FALSE
"A_2022","started_g6_private","years_in_school",FALSE,274,2,128,146,0.0206549657534249,0.0539534489768392,-0.0207619863013703,0.0393411166129759,0.278512335913839,0.00291097465649639,0.00154772345635577,-0.00024449718360604,0.702145265135353,-0.994845360824736,3.02953679702023,-6.95916669959003,4.96947597794056,0.742875505966132,"all real numbers",FALSE
"A_2022","started_g6_private","years_in_school",TRUE,274,7,128,146,0.0312720034282057,0.0536677922393642,-0.0182858018313419,0.0404359510394563,0.204499708701662,0.00288023192384756,0.00163506613646531,-0.000277499582379129,0.560589792489731,-1.71017949973653,4.48074552952837,-10.5322683929155,7.11190939344242,0.703007514263901,"all real numbers",FALSE
"A_2022","started_g6_private","married_or_cohab",FALSE,274,2,128,146,0,0,-0.0207619863013703,0.0393411166129759,0.278512335913839,0,0.00154772345635577,0,,0,,,,,"Not reported: no outcome variation",TRUE
"A_2022","started_g6_private","married_or_cohab",TRUE,274,7,128,146,0,0,-0.0182858018313419,0.0404359510394563,0.204499708701662,0,0.00163506613646531,0,,0,,,,,"Not reported: no outcome variation",TRUE
"A_2022","started_g6_private","has_child",FALSE,273,2,127,146,0,0,-0.0199007658289295,0.039486009856967,0.254011324844293,0,0.0015591449744245,0,,0,,,,,"Not reported: no outcome variation",TRUE
"A_2022","started_g6_private","has_child",TRUE,273,7,127,146,0,0,-0.0174295287148506,0.0405667425141799,0.184599711235663,0,0.00164566059821177,0,,0,,,,,"Not reported: no outcome variation",TRUE
"A_2022","started_g6_private","working",FALSE,274,2,128,146,-0.0252568493150687,0.0333015981983001,-0.0207619863013703,0.0393411166129759,0.278512335913839,0.00110899644256103,0.00154772345635577,-6.10139355888251e-05,0.448851727318376,1.21649484536081,2.86889141269794,-4.43156009431997,6.86454978504159,0.671879385529814,"all real numbers",FALSE
"A_2022","started_g6_private","working",TRUE,274,7,128,146,-0.0102601831364348,0.0310117630698311,-0.0182858018313419,0.0404359510394563,0.204499708701662,0.000961729448699342,0.00163506613646531,-4.4921959434573e-05,0.741018708618011,0.561101078917349,2.1369461280381,-3.64630783936393,4.76850999719863,0.793083376321795,"all real numbers",FALSE
"A_2022","started_g6_private","hours_worked",FALSE,274,2,128,146,-0.219606164383564,0.845216153840248,-0.0207619863013703,0.0393411166129759,0.278512335913839,0.714390346712502,0.00154772345635577,-0.00301836174861918,0.795197260451875,10.5773195876288,46.9800008599044,-81.9133284545209,103.067967629778,0.822035410812019,"all real numbers",FALSE
"A_2022","started_g6_private","hours_worked",TRUE,274,7,128,146,-0.0274630368176797,0.778493670367293,-0.0182858018313419,0.0404359510394563,0.204499708701662,0.606052394801939,0.00163506613646531,-0.00230231047024393,0.971885103765155,1.50187763550012,42.9444952314395,-83.0510504225091,86.0548056935094,0.972127776618348,"all real numbers",FALSE
"A_2022","started_g7_private","years_in_school",FALSE,274,2,128,146,0.0206549657534249,0.0539534489768392,0.159781678082192,0.0535161871951274,8.91422573489077,0.00291097465649639,0.00286398229190392,0.00065308839370455,0.702145265135353,0.129269926322841,0.330577974847766,-0.521546816173778,0.78008666881946,0.696072196398887,"[-0.81571306, 0.92229799]",FALSE
